seasonType,year,attendance,dayNight,durationMinutes,awayTeamName,homeTeamName,venueName,venueCapacity,venueCity,venueZip
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
PST,2016,44747,N,191,Giants,Mets,Citi Field,41922,Flushing,NY
